Power source,Energy density (Wh/l),LTE browsing hours,Standby (days),Regular use (days)
Diesel fuel,10700,182.7003799,152.2503166,9.515644787
Body fat,9700,165.6255781,138.021315,8.62633219
Black coal,9400,160.5031375,133.7526146,8.359538411
Propane,6600,112.6936923,93.91141024,5.86946314
Natural gas,3100,52.93188577,44.10990481,2.75686905
iPhone 6s battery ,702.79,10,10,0.625
Wood,540,9.220393005,7.683660838,0.4802288023
Alkaline battery,400,6.829920744,5.69160062,0.3557250388
Lead acid battery,64,1.092787319,0.9106560993,0.0569160062
,,,,
Sources: ,http://batteryuniversity.com/learn/article/bu_1007_net_calorific_value,,,
,http://web.mit.edu/2.009/www/resources/mediaAndArticles/batteriesPrimer.pdf,,,
,https://www.ifixit.com/Teardown/iPhone+6s+Teardown/48170,,,
,http://www.apple.com/iphone-6s/specs/,,,
,,,,
Questions?,jonathan.keegan@wsj.com,,,
,https://twitter.com/jonkeegan,,,
,,,,
Last updated,10/1/2015,,,
